,news_id,title,abstract,category
1772,N959,Tropical trouble again in the Gulf this weekend?,It was just a week ago we were watching an area of disturbed weather in the SW Gulf of Mexico that eventually developed into Tropical Storm Nestor and brought some heavy rain and damaging tornadoes to Florida.,weather
1773,N5887,Lucky Texas Storm Chaser Sees Hailstones Whizz Past Him During Tornado,"Storm chaser Marcus Diaz may think twice about how close he gets to the elements after large hailstones whizzed past his head from behind as he was filming an EF2 tornado in Tahoka, Texas, earlier this year. According to Accuweather, the winds in the tornado reached ""between 113 and 157 mph."" Diaz posted footage of the moment he was filming a ""dusty EF-2 tornado at close range"" as the hailstones almost hit ""the camera from behind,"" to Twitter on October 17. The lucky storm chaser told Storyful the footage was recorded on May 5. No injuries were reported as a result of the storm. However, the cyclone ripped through agricultural areas, ""causing structural damage to farms and wrecking equipment, power lines, and irrigation systems,"" according to media reports. Diaz may be better served in the future by heeding the advice of the National Oceanic and Atmospheric Administration (NOAA). According to NOAA, ""if you are unable to make it to a safe shelter, either get down in your car and cover your head, or abandon your car and seek shelter in a low lying area such as a ditch or ravine."" Credit: Marcus Diaz via Storyful",weather
1777,N15049,Garland Hit With Widespread Damage From Tornado,"GARLAND (1080 KRLD) - There's widespread damage in Garland, where a one mile stretch of Shiloh Road is shut down because of debris and downed power lines. The city of Garland says the main damage in the city is north of I-635, and the area will be closed for some time. The city is planning to pick up debris today, and building inspectors are out assessing damage. Ray Leszcynski with the city says the neighborhoods are 50 years or older with lots...",weather
1783,N34410,Get ready for a cold Halloween in Houston! Freeze warning likely north of town,"Get the hot chocolate ready and your little ones bundled up for what is expected to be a cold trick-or-treat in Houston. WEDNESDAY Expect a muggy morning with fog and rain. As the front sweeps through Texas, our temperatures will drop into the mid-50s by Wednesday night. A significant chance for rain kicks in around noontime Wednesday until about 3 a.m. Thursday. THURSDAY Temps Halloween night will stay in the 40s, with a north wind at 10-15...",weather
1786,N52245,"With cold and snow in the forecast, Kansas City will get an early taste of winter","For those who dislike the snow and the cold, Kansas City's forecast for the week of Halloween could be downright scary. ""We have our first taste of winter in our forecast,"" said FOX4 meteorologist Karli Ritter, who provides weather updates to The Star. ""Throughout the day today we are going to really hold steady -- upper 30s and lower 40s for the air temperatures."" There's a chance of ...",weather
1787,N46067,DEEP investigating fatal boating accident in Long Island Sound,"BRIDGEPORT   One man died and three people were injured after their boat capsized in Long Island Sound near Bridgeport. DEEP officials say around 10:30 am, Coast Guard Long Island Sound was alerted to a capsized 17-foot boat near the Stratford Shoal Buoy #2. A man had walked into the Fairfield Police department and said a friend had called him to say his boat was capsizing. The Coast Guard ...",weather
1793,N41735,"5 years after legalized pot, what's changed in Colorado?","Watch 12 News at 10 on Monday, Nov. 3, as Mark Curtis talks to Coloradans to see whether legalized marijuana was a good or bad idea for the state. Denver is the Mile High City, and for those of you looking to win a bar bet, it's because the city is exactly 5,280 feet above sea level. But for years, there's been something else putting the ""high"" in this sprawling metropolis. ""We've always had marijuana in our state and all these other places,...",weather
1794,N19920,The Latest: Schools close over severe Colorado weather,"DENVER (AP)   The Latest on a powerful snowstorm causing closures in Colorado (all times local): 10:05 p.m. Denver Public Schools and administrative offices will be closed Wednesday due to severe weather and difficult travel conditions, officials say. The decision was announced Tuesday night, along with Aurora and several other school districts, after the state was hit by the second snowstorm in as many days. Children had been sent home early in...",weather
1796,N57106,"Denver Weather: Snow Heading For Colorado, Including Denver",More snow is quickly heading to Colorado. Our next system will race towards our state on Wednesday.,weather
1797,N9016,Arlington clean-up continues after July floods leave nearly $6 million mess,"It has been nearly three months since we were hit with torrential rain which flooded the area costing millions of dollars in damages. In Arlington, crews continue to clean up the mess. July's major flash flooding damaged or destroyed eight pedestrian bridges near the Four Mile Run Trail. A spokesperson for the county said the damage cost nearly $6 million in damages. David Edwards lives around the corner from the Four Mile Run Trail and walks...",weather
1798,N38121,The Latest: Nestor moves into Georgia with heavy rain,MIAMI (AP)   The Latest on Tropical Storm Nestor (all times local): 5:10 p.m. Nestor has begun moving through Georgia as a post-tropical cyclone that could bring isolated flash floods. The National Hurricane Center said Nestor's maximum sustained winds had decreased to about 40 mph (65 kph) as it reached the Florida-Georgia border Saturday afternoon. Its tropical-storm-force winds extended outward to 240 miles (390 kilometers). The storm is...,weather
1799,N24432,Northwest Guilford Students & Parents Shelter In Hallways For Tornado Warning During Volleyball Match,"At Northwest Guilford High School, they had to clear the gym during a volleyball match and shelter in place Thursday night, as the storm moved closer. In the midst of an approaching storm, the focus was set on the match at hand. ""Up to that point, it was really back-and-forth in the first set,"" said Sarah Barham, ""We had finally broken away, it was on setpoint when the lights went off. Everybody got super nervous."" Lights flickered - then went...",weather
1801,N36367,Salem Is Ready For Halloween Despite Dreary Weather,WBZ-TV's Mike LaCross reports.,weather
1806,N40753,"Despite Overnight Snow, It's Smooth Sailing On Most Colorado Roads",Snowy conditions across the Denver metro area and in the Colorado foothills aren't causing too many problems for drivers early Thursday morning.,weather
1807,N25816,Wildfire burns near hilltop homes in coastal Los Angeles,A furious firefighting air and ground attack beat back a wildfire Monday as it raced up canyon walls toward multimillion-dollar ocean-view homes on a ridge in Los Angeles. (Oct. 21),weather
1808,N63897,Denver could set its coldest October temperature on record this week,"This year's end of October forecast sure is looking spooky. Spooky cold, that is.",weather
1810,N23898,Plow Clears Snow-Covered Sidewalk in Green Bay,"Early season snow blanketed Wisconsin roads and walkways on Wednesday, November 6, local media reported. The National Weather Service (NWS) reported 2.7 inches of snow had fallen in Green Bay at around 9 am local time on Wednesday. The NWS warned drivers of ""hazardous"" driving conditions caused by snow-slicked roads. Local media said about 25 crashes were reported to the Green Bay Police Department before 8.30 am on Wednesday. This video shows snow falling as a plow clears a snow-covered sidewalk in Green Bay. Credit: Doug Landwehr via Storyful",weather
1815,N17283,Halloween weather: Rain could spook trick-or-treaters,Halloween is expected to be warm and wet in the Lower Hudson Valley.,weather
1817,N44632,"Japan storm victims felt worst had passed, then floods came","KAWAGOE, Japan (AP)   After the worst of Typhoon Hagibis passed over this town north of Tokyo, Kazuo Saito made sure there was no water outside his house and went to bed. He woke up a few times throughout the night to check, but by the time he woke for good on Sunday morning, the view outside his window was almost unrecognizable. ""There was a huge river flowing in front of me,"" the 74-year-old said. The storm, which made landfall in the Tokyo...",weather
1818,N39504,Researchers explain latest red tide report,The latest report of red tide by the Florida Fish and Wildlife Conservation Commission shows parts of southern counties with high concentrations of red tide.,weather
1822,N42925,SoCal Edison Considers Shutting Off Power For 132K Customers Amid Wildfire Concerns,"In Los Angeles County, 18,343 customers were in the service area under PSPS consideration, meaning transmission lines could be de-energized in fire-prone areas, causing those in the area to lose power.",weather
1837,N33644,Flood Concerns Carry Into Wednesday For Two Washington Rivers,"Most rivers have crested, but flooding will persist into Wednesday in some areas.",weather
1840,N24106,"DFW ties record low for Nov. 1, only second time area has seen freezing temps this day","For the second time ever on record, we've had a freeze on November 1. The temperature at DFW Airport hit 31 degrees shortly after 6 a.m. Friday. That ties the record low of 31 on this day from 1906. The normal temperature is 52, so North Texas is very chilly for this time of year. There is not much of a wind, so at least wind chills won't be as miserable as yesterday. Watch out for some frost on your cars if you park outside, and any slick areas...",weather
1845,N60719,It appears the weather decided to skip November and go to December,"Welcome to the first weekend of November. It's the month where we pull out decorations from the year before and prepare to bake a little more than normal. The lawn mowers see less and less activity, but rakes are in high demand. It's also the month where we pause to give thanks, time changes, (literally) and cold air is front and center. So as we wrap our outdoor pipes and bring in plants for the year, we also brace for the coldest air of the...",weather
1846,N4590,"Snowfall comes to northern Arizona, just days before Halloween","Daytime temperatures in the Flagstaff area are expected to drop to the mid 30s this week, said National Weather Service officials.",weather
1850,N38258,"A Cold Week On Tap For Washington, Wind Advisory Monday Night",,weather
1853,N61323,"National Weather Service Confirms 5 More Tornados Hit North Texas Sunday Night, 9 Total","The National Weather Service has confirmed that five more tornados hit North Texas Sunday night, bringing the total up to nine.",weather
1856,N16703,Storm System Causes Flooding on Florida's Anna Maria Island,"Tropical Storm Nestor swept up Florida's east coast on Saturday, October 19, flooding several areas before making landfall as a post-tropical cyclone at St Vincent Island in the Florida Panhandle a few hours later. Anna Maria Island, south of Tampa, and shown in this footage,, was among the areas affected by flooding. High surf, rip currents and wind gusts were also reported in the area. A flood advisory was in effect until Sunday morning. Credit: Rebecca Seymour Armentrout via Storyful",weather
1859,N59135,Stranded Drivers Rescued From Vehicles After Flooding Hits Buffalo,"Stranded drivers were rescued from their trapped vehicles on Friday morning, November 1, after heavy rain and flooding from Lake Erie and the Niagara River hit Buffalo, New York. Firefighters with the Buffalo Fire Department used boats to rescue stranded drivers at the intersection of Niagara Street and Tonawanda Street. A public alert warned of flooding from Lake Erie and the Upper Niagara River. The alert was due to remain in place until 1pm local time on Friday. Credit: BFD Helmets & Hose Wagons via Storyful",weather
1861,N13841,Anglers can return to the surf and offshore for pompano and dolphin,"Calm seas and clear skies should enable anglers to target favorite catches such as dolphin, snapper, snook, pompano and redfish.",weather
1862,N44120,Heavy Rain Washes Out Road in Central Vermont,"A powerful nor'easter swept through parts of Vermont on October 16 and 17, bringing heavy rain, road closures, and power outages to thousands of residents. Dan Adam captured this video of water rushing through a portion of Grimes Road in the town of Lincoln. A large piece of the road has been washed away due to heavy rain. The National Weather Service tweeted a flood watch on the afternoon of October 16, warning people that fallen leaves may clog storm drains and produce street flooding. Local media reported on October 17 that it would take crews ""a few days"" to make Grimes Road safely operable again. Credit: Dan Adam via Storyful",weather
1864,N50383,Calabasas wildfire burns 10 acres before firefighters halt its progress; 101 Freeway reopened,,weather
1875,N58561,Wildfire Alert Cameras Captures Ignition and Spread of Maria Fire,"Wildfire alert cameras captured the moment that the Maria Fire ignited in the mountains above Santa Paula, California, and began to spread on Thursday evening, October 31. The fire grew to about 5,000 acres overnight, the Ventura County Fire Department said. The fire was spread by eastern winds and remained completely uncontained, with more than 400 firefighters responding the blaze, authorities said. The Ventura County Sheriff said that 18,000 structures were threatened by the fire and 75,000 people were under evacuation orders. About 100 deputies and volunteers were assisting in evacuations, he said. Credit: ALERTWildfire via Storyful",weather
1876,N11266,National Weather Service says two EF1 tornadoes hit near Konawa on Sunday,"National Weather Service officials said they've identified two tornado tracks from the severe storms that hit Oklahoma on Sunday. The first tornado track began southwest of Konawa, destroying a barn and damaging a couple other farm buildings. Officials said the tornado's circulation moved into an area inaccessible by roads, so no additional damage was found. The second tornado developed northeast of Konawa from the same circulation that produced...",weather
1877,N23037,I Don't Think I'm Getting to Work': Roads Covered With Ice as Snowstorm Roars Through Rural Montana,"Many roadways across north-central and west-central Montana were covered in snow on October 28, as a cold front moved over the area, the National Weather Service Great Falls said. The NWS urged residents to delay or considering avoiding driving and said that as of noon on October 28, snowfall measurements for Great Falls reached 4.1 inches. ""Snow is still falling, so there could be additional accumulations measured at the 6 pm measurement,"" the NWS said. In a video shared to Twitter by local resident Cassie Barnett, strong winds and snowfall reduced visibility in Fairfield, Montana. ""I don't think I'm getting to work,"" Barnett is heard saying as she panned the snow-covered landscape. Credit: Cassie Barnett via Storyful",weather
1879,N29971,The Latest: Crews work on California fires as winds approach,A furious firefighting air and ground attack beat back a wildfire Monday as it raced up canyon walls toward multimillion-dollar ocean-view homes on a ridge in Los Angeles. (Oct. 21),weather
1883,N60548,The new normal' in California? Wildfire wedding photo goes viral,"The photo is startling. A bride and groom posing in a smoky vineyard near Chateau St. Jean Vineyard in Kenwood, California, wearing face masks to protect them from wildfire smoke. Curtis and Katie Ferland, a couple from Chicago, had been planning their destination wedding in Northern California wine country for a year. When they arrived in California for the big event, they were inundated with news coverage of the Kincade Fire burning across...",weather
1884,N55540,"JUST IN: Body found in Lake Travis, authorities say","A body has been found in Lake Travis 10 days after a 19-year-old man fell off a boat near Devil's Cove and did not resurface, the Travis County sheriff's office said via Twitter. The man was with a group of friends on Oct. 14 when he fell off the boat. The group was heading back to shore from Devil's Cove, which is on the north side of the lake near Jonestown. This is a developing story. Check ...",weather
1886,N626,Fire Crews Knock Down Brush Fire Near Route 242 In Concord,Firefighters have extinguished a brush fire that briefly closed Olivera Road at State Route 242 in Concord Tuesday afternoon.,weather
1889,N23441,New tropical system forms in the Gulf,The National Hurricane Center has issued a tropical storm warning for parts of the northern Gulf Coast. A storm surge watch is in effect along the Florida Gulf Coast from Indian Pass to Clearwater. Potential Tropical Cyclone 16 is expected to develop into a tropical or subtropical storm later Thursday or Friday. The potential cyclone is currently in the southern Gulf of Mexico and is moving north at 8 mph with max sustained winds of 35 mph. READ...,weather
1890,N17825,Japan looks for missing after typhoon kills dozens,"Water still covered a road and the surrounding field in Kawagoe, Saitama, north of Tokyo on Monday, two days after a typhoon swept Japan. (Oct. 14)",weather
1891,N42899,Chemical pollution prompts shutdown of South Jersey water treatment plant,"BELLMAWR, N.J. (KYW Newsradio) -- Bellmawr has shut down one of its two water treatment plants after traces of a chemical pollutant were discovered at levels higher than deemed safe in New Jersey. The state was the first in the country to establish standards for perfluorononanoic or PFNA contamination back in January at 13 parts per trillion. The level at Bellmawr's Warren Avenue plant came in at 19. Environmentalists like Jeff Tittel at the...",weather
1894,N44862,"In California, hidden earthquake faults lie beneath us   some very dangerous",The earthquakes that shook Northern California over the past two days were a surprise to geologists in only one way   one of them ruptured an area in Contra Costa County where no faults had been detected before. A 4.5 earthquake struck at 10:33 p.m. Monday near Pleasant Hill and a 3.4 quake struck in the same area at 7:11 p.m. Tuesday.,weather
1895,N46773,"PG&E Puts 440,000 Bay Area Customers On Watch For Blackouts","PG&E has said it may cut power to 850,000 customers across California, including roughly 440,000 in the Bay Area, this weekend during a period of strong winds and high risk of fire danger. Dry northeast winds blowing at 45-60 miles per hour with gusts of up to 70 mph at higher elevation from Saturday night to midday Monday have led to the utility to plan for another so-called Public Safety Power Shutoff. ""Winds of this magnitude pose a higher...",weather
1896,N29682,Sundowner' winds could fan flames in Southern California,"Strong northerly winds, known as 'sundowners,' will create an extended period of high fire danger over a large part of Southern California. The winds and the fire risk will continue through Sunday night and can be strongest in some cases during the evening and overnight hours. ""Dry, warm air accompanying the winds will add significantly to the fire threat by making brush more flammable,"" according to AccuWeather Meteorologist Courtney Travis....",weather
1898,N49387,Climate change has finally caught up to this Alaska village,"Many folks are not happy to be leaving the place they've known their whole lives. After 20 years of melting permafrost, residents of Newtok now must move.",weather
1901,N26255,Red tide now reaches as far north as Venice,"The daily sample map from the Florida Fish and Wildlife Conservation Commission (FWC) shows low- and medium- concentrations of red tide as far north as Venice Beach. The bloom stretches south to Lee and Collier counties, where some high concentrations can be found.",weather
1902,N30968,"Severe storms, strong winds cause outages, road closures in Hampton Roads","Thousands of homes on the Peninsula and the Southside were without power after severe storms rushed through the area overnight. Strong, damaging winds moved through the area overnight along with severe thunderstorms. There were tornado warnings issued early in the morning in Norfolk and Chesapeake, and Virginia Beach, according to National Weather Service in Wakefield. In Chesapeake, officials said Shillelagh Road is closed at the 2200 block due...",weather
1905,N28787,Huge storm blows through and makes lake look like raging ocean,"Waves pummeled the shores of Lake Superior and Lake Michigan early this week as an intense storm system swept across the Great Lakes. Winds howled from the Dakotas through Michigan, and AccuWeather Reporter Blake Naftel witnessed the power of the storm first-hand along the eastern shores of Lake Michigan. Naftel was in Grand Haven, Michigan, on Tuesday morning when 50-mph wind gusts lashed the area. Those strong winds spawned large waves that...",weather
1917,N10236,Weather Service Annouces 10th North Texas Tornado Found,"ALLEN (1080 KRLD) - The National Weather Service crews in Fort Worth have been out surveying again today following Sunday's sever storm outbreak, and have determined there was yet another tornado that touched down in North Texas. The National Weather Service says it has found evidence of a tornado in Allen, in Collin County, on the west side of town. The tornado will be rated EF-0 with 80 mph winds. This brings the total tornado count up to 10...",weather
1921,N14563,"Trees, branches, wires cause power outages, road closures","HARTFORD, CT (WFSB) - The overnight wind and rain wreaked havoc in neighborhoods across the state. At its peak Friday morning, the wind was responsible for more than 90,000 customers being without power between the Eversource and United Illuminating companies. As of 12:35 p.m., Eversource reported 55,824. U.I. had more than 4,185, mostly in New Haven. In a text alert, Eversource said multi-day outages are possible at this point. See damage from...",weather
1929,N52913,US air quality declines after years of improvement,"Worsening air quality differed by region, with levels remaining flat in the Northeast and Southern parts of the country, while the Midwest and West saw increases.",weather
1932,N26160,Potential for strong to severe Halloween thunderstorms triggers another First Alert Day,,weather
1945,N56796,Missing Rhode Island Boater Found Safe: Patch PM,Also: Mosquitoes still a concern this Halloween | Point Judith Pond closed to shellfishing | more.,weather
1946,N56411,Second earthquake felt across Northern California; 4.7 temblor hits near Hollister,"A magnitude 4.7 earthquake hit the Hollister area in San Benito County Tuesday, hours after the San Francisco Bay Area was rattled by a 4.5 temblor in the East Bay's Contra Costa County 100 miles away. The lunchtime quake at 12:42 p.m. was felt across the Bay Area and Central Coast, according to the U.S. Geological Survey.",weather
1948,N24160,"Richardson To Get Neighborhoods ""Back To Normal"" As Quickly As Possible","RICHARDSON (1080 KRLD) - Richardson Mayor Paul Voelker would like residents to know all resources needed to respond and recover from last night's severe weather event are being called into action to get neighborhoods ""back to normal"" as quickly as possible. ""There is a significant amount of damage that has severely impacted many of our residents,"" said Mayor Paul Voelker. ""We have mobilized every department in the City and activated all...",weather
1952,N54323,Thermal Sensors Show Colorado 14ers Are Busier Than Ever,"According to the group's findings, 353,000 people climbed 14ers in 2018. That's about a 6% increase form 2017.",weather
1958,N23525,Train Like Sterling K. Brown | Men's Health,Train Like Sterling K. Brown | Men's Health,weather
1962,N54898,"Cold, 'bone-dry' conditions forecast for the Bay Area this week","Cough-inducing smoke, bone-dry air and chilly temperatures are all part of the Bay Area weather forecast this week. And while the gusty conditions that have sparked and spread wildfires this month are calming, there's no rain in sight. It was a cold start to the day around the Bay Area Wednesday; the North Bay was especially frigid with lows in the mid-20s to low-30s. Skies will remain clear, and temperatures will gradually rise through the day...",weather
1964,N63280,"Severe storms cause damage, delays in Philly area","Treacherous storms in the Philadelphia area downed trees and power lines overnight, bringing public transport to a halt throughout the Delaware Valley. According to ABC, by early Friday PECO reported more then 120,000 people are without power in Pennsylvania. There has been a large number of schools closed due to the severe weather, which brought with it tornado warnings. SEPTA has suspended service in the Lansdale /Doylestown and Warminster...",weather
1967,N3001,Maine man critically injured after tree falls on car driving in storm,"A man was seriously injured after a tree fell on his car in Windham Friday morning, according to police. Norman Rawding, 65, was driving down River Road in the area of Page Road around 7:20 a.m. when a tree fell and trapped him inside. Crews had to extricate Rawding from the vehicle. He was transported to Maine Medical Center where he is in critical condition. River Road was shut down Friday morning for a short time while crews worked to get...",weather
1968,N7795,"Most countries aren't hitting 2030 climate goals, and everyone will pay the price",Untold human suffering is in our future as nations miss their Paris Agreement targets by a long shot.,weather
1969,N35209,Your weather today in Norfolk,What's the weather today? What's the weather for the week? Here's your forecast.,weather
1972,N19664,Some families will never be the same': Recovery from Dallas tornado split along economic lines,"From the naked eye, many Dallas streets look alike right now. Between piles of debris and pools of standing water, many homes are draped with tarps and windows are covered with plywood. But the experience for victims can be strikingly different. Martha Vega, her husband and son live with Vega's parents in the house she grew up in on Constant Street, near Marsh Lane and Walnut Hill Lane. The home belonged to Vega's grandfather. Friday afternoon,...",weather
1974,N28002,Denver Weather: Records Fall As Snow Continues To Pile Up,"DIA officially saw 5.9 inches of snow as of noon on Tuesday, putting our monthly total to 10.7 inches. This is the most snow we've seen in October since 2009.",weather
1976,N2966,Cold front in northern Colorado on Friday morning; tranquil weekend ahead,"DENVER -- The only fly in the ointment Friday is a cold front wobbling across Denver and northern Colorado. It will produce a few snow showers/flurries in the northern Front Range foothills, around Fort Collins, Weld County and the Interstate 76 corridor in northeast Colorado. Otherwise, it will stay dry with partly cloudy skies and a high of 38 degrees. The normal high this time of year is 60 ...",weather
1977,N56480,"Northeast Ohio weather: Rain develops overnight, turning chilly late in the work week",,weather
1979,N26317,Nor'easter dumps heavy rain across East Coast,Millions of people along the East Coast are in the grip of a powerful Nor'easter. The storm dumped heavy rain that caused flooding in areas from North Carolina to Maine.,weather
1983,N33560,Late-week storm could spell wintry weather for the mid-Atlantic,"A storm budding in the south-central U.S. earlier in the week, will take aim at the East Coast, and could deliver both heavy rain and wintry weather. An active pattern will continue to bring several storms from the center of the country to the Eastern Seaboard throughout the week. The presence of many moving parts makes for a more long-term complex pattern. One such moving part is a high pressure system that will move across the northern half of...",weather
1995,N21540,Large Fire Breaks Out In Moffat,Firefighters rushed to a large fire in Moffat on Monday evening.,weather
1997,N61164,MBTA reports widespread delays due to storm,"Bay State commuters can expect delays on the Green line and Commuter Rail Thursday after an overnight storm caused downed trees, extensive flooding, damage to trains and widespread power outages. ""We appreciate our passengers' patience while crews continue to provide service. Passengers should stay connected for service updates at MBTA.com and Twitter,"" Keolis Commuter Services, […]",weather
1999,N16456,Building at N.J. airport destroyed during storm,"Strong winds severely damaged a commercial building at Monmouth Executive Airport early Friday, a fire official said. Triple C Tires on Airport Boulevard in Wall got hit by a wind burst just after 2 a.m., causing walls and a bay door to collapse, Glendola Fire Capt. Chris Rosenfeld said. The building was unoccupied at the time of the collapse. No firefighters were injured. Other buildings on ...",weather
2002,N53138,Cold front to relieve Tampa Bay from hottest October in 100 years,"Tampa Bay just had its hottest October on record with average temperatures soaring to nearly five degrees above normal   the hottest it's been in 100 years   but a weekend cold front is about to offer a little relief. The front won't drop temperatures by much Friday and Saturday, but Sunday will be markedly cooler. ""If you're looking for a reason or times to try and wear a sweater, maybe ...",weather
2011,N42974,Last Month Was Hottest October Ever,"October 2019 narrowly beat out October 2015, according to the Copernicus Climate Change Service.",weather
2016,N63247,Firefighters race to control blazes before winds roar back,"A fire in the Los Angeles suburb of Santa Clarita has forced 50,000 people to evacuate, with some staying at an evacuation center at a local high school. (Oct. 25)",weather
2026,N55344,"Colorado Weather: Snow Begins Falling In Mountains, I-70 Slippery On Vail Pass","Early season snow is falling in Colorado's mountains and road conditions are ""changing rapidly"" on Vail Pass.",weather
2035,N5920,"Dallas Making Progress On Reopening Streets After Tornado, Work Continues This Weekend",The city said it has cleared debris from 20% of the side streets.,weather
2045,N9010,"Another Winter Storm Warning For Metro Denver, Boulder","Another snowstorm will drop out of the Northern Rockies into Denver's metro area and Boulder, weather officials warned.",weather
2046,N24736,Cold air to plunge into US next week -- but how quickly will it reach the East?,"Much colder air will surge into the north-central United States during the last week of October, but how fast will that cold air reach the Eastern states and what storms may spin up during the transition? The coldest air of the season so far is poised to plunge from northern Canada to areas from the Rockies, Plains and Midwest in multiple waves starting this weekend and continuing through early November. It is conceivable that some locations...",weather
2050,N8770,Wind-driven seiche causes water levels to rise more than 10 feet in eastern portion of Lake Erie,,weather
2052,N19049,Excited Puppy Experiences First Snow in Southern Minnesota,"Charlie the Scottish terrier experienced his first snowfall on Wednesday, November 6, as he scampered through the wintery landscape of southern Minnesota. This video shows Charlie, who's less than a year old, running through a snowy lawn in Blue Earth, Minnesota. About 4.5 inches of snow collected in Blue Earth by Wednesday morning, according to data from the National Weather Service (NWS). The NWS said snowfall began overnight and continued into Wednesday morning. An additional inch of snow could accumulate on Wednesday, but the weather service said snowfall was generally expected to slow down. However, ""unseasonably cold"" temperatures were forecast for the following days. Credit: @charlie_the_cute_scottie_dog via Storyful",weather
2054,N45259,No Trick: These New England Towns Are Postponing Halloween Due to Weather,"It looks like Halloween is bringing us more tricks than treats across New England this year, with Oct. 31 forecast to have heavy rain and high wind gusts.",weather
2056,N27107,Tropical Storm Nestor Forms,"A tropical disturbance in the Gulf of Mexico strengthened to Tropical Storm Nestor Friday afternoon as it takes aim at the Florida Panhandle. Nestor will continue to strengthen and then make landfall along the Florida Panhandle near Panama City sometime Saturday morning. The biggest threat with this storm will be storm surge, as ocean water could rise up to 5 feet from Apalachicola to Cedar Key, Florida. Water could rise up to 4 feet as far...",weather
2057,N40764,OG&E team working in Dallas to assess damage caused by EF3 tornado,"A team of 32 OG&E members and contractors are working in Dallas to assess damage after an EF3 tornado touched down in the area Sunday night. The tornado tore homes and businesses apart in a densely populated area of Dallas, where officials said only minor injuries have been reported. The storm knocked out power for close to 160,000 Oncor customers. Addressing a news conference Monday morning, Dallas Mayor Eric Johnson said the city was lucky...",weather
2058,N7815,"Typhoon Hagibis makes landfall in Japan, leaving at least one dead","Typhoon Hagibis made landfall Saturday night local time, as the country braces for hurricane-force winds which has killed one person and injured 33.",weather
2059,N53985,Valley high school volleyball game resumes after being halted for racial taunts from crowd,"A rematch volleyball game was scheduled for Friday evening after the original game was halted Tuesday after people in the crowd reportedly started heckling players with racial slurs. That game took place on Oct. 22 and is currently being investigated by the Canyon Athletic Association (CAA). According to the Associated Press, Salt River High School girls volleyball players were beckeled by spectators imitating war chants and tomahawk chops...",weather
2062,N14267,Car Damaged in Strong Massachusetts Winds,"A storm front moving north through New England brought power outages, downed trees and led to flash flooding on the night of October 16-17. In Lynn, a city north of Boston, a sign hit a parked car. This video show blustery, wet conditions in the city. The National Weather Service in Boston reported gusts of wind up to 70 mph after 2 am at Logan Airport. Credit: @W1PAC via Storyful",weather
2063,N47394,Sunny' the yellow northern cardinal is first confirmed sighting for Florida; total now 12 nationwide,"While Sunny was a first for Florida, it's not the first time a yellow cardinal with a rare genetic color mutation has been photographed in the U.S.",weather
2069,N18087,Burning Car Sparks Vegetation Fire in Orange County,"A vehicle fire ignited a vegetation fire near southern California's Santiago Canyon on Thursday, October 24, the Orange County Fire Authority (OCFA) said. This video, shared by the OCFA, shows a helicopter dropping water over the five-acre blaze. The OCFA said it was working with the Orange City Fire Department to put out the fire, which forced the closure of nearby roads. The National Weather Service forecast dry and windy weather for the area, making ""favorable conditions"" for rapidly growing fires. Several other wildfires were burning in California, including the 10,000-acre Kincade Fire and the Old Water Fire that's burning more than 50 acres in San Bernardino. Credit: @OCFA_PIO via Storyful",weather
2076,N22322,Hear the sounds of climate change with earthquake monitors,"Seismometers can register hurricanes from thousands of miles away, or hear ice melting and refreezing, offering a new way to track changes big and small.",weather
2079,N58100,Holey Florida! 9 facts about sinkholes,"Florida is holey. Florida's bedrock is limestone-rich; limestone is everywhere, and it's 3 miles thick underneath the bedrock. Flowing through the Swiss cheese-like layer is water coming from the east, west, south, up and below. The water below dissolves the calcium carbonate in the bedrock, creating bigger holes, which often cave with anything on top of the surface. Sinkholes can form anywhere in Florida, but not all sinkholes are the same....",weather
2083,N60334,Cars Navigate Snowy Roads in Downtown Denver,"A ""potent"" snowstorm moving through Colorado on Tuesday, October 29, left parts of the state covered in snow, according to the National Weather Service (NWS). The NWS said between four and 16 inches of snow were expected in some parts of Colorado, with the most snowfall in the northern and central mountains and the Front Range foothills. The weather service also warned drivers of snowy and slippery roads. This video shows cars driving through snow-slicked roads in downtown Denver. The NWS recorded 5.9 inches of snow at the Denver International Airport on Tuesday. Credit: Rhona Tarrant via Storyful",weather
2088,N52344,"Cool temperatures will continue with an overnight freeze, but warmer weather later","Unseasonably cool temperatures are expected to continue throughout Friday afternoon and early Saturday, where many portions of Kansas City could experience widespread frost, according to FOX4 meteorologist Karli Ritter. ""We are going to be pretty cold later on today. As we clear out our skies we will see our temperatures try to recover back up to the upper 40s,"" said Ritter, who ...",weather
2090,N19414,Warmer-than-average temperatures in the forecast for Phoenix,Temperatures are expected to be in the 80s this week with a chance of thunderstorms on Wednesday.,weather
2091,N8440,Here's what to expect from the week ahead in weather,"Massachusetts could see the first snowfall of the year this coming week, with a possibility of the first flakes arriving this coming Friday.",weather
2092,N17287,Wind Spreads Cow Creek Fire In Western Colorado,Firefighters in western Colorado are continuing to battle the Cow Creek Fire east of Ridgway from the air and the ground.,weather
